respondent_id,task_id,timestamp,num_questions,user_agent,sanity_check_1_passed,sanity_check_2_passed,sanity_checks_passed,model_bias_gemini_2_5_pro,model_bias_gemini_2_5_flash,model_bias_DeepSeek_R1_0528,model_bias_Qwen3_235B_A22B_2507,monotonicity_score,variance_score,verbosity_first,verbosity_weighted,verbosity_correlation,model_bias_std,preferred_model,least_preferred_model,preference_gap,flag_mechanical_pattern,flag_low_variance,flag_strong_model_bias,flag_failed_sanity,flag_verbosity_long,flag_verbosity_short,flag_verbosity_bias,suspicious
a1,a1,2025-09-09T15:58:29.639000+00:00,42,Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537...,True,True,True,2.952,1.881,2.31,2.857,0.146,1.25,0.452,0.484,-0.091,0.434,gemini-2.5-pro,gemini-2.5-flash,1.071,False,False,False,False,False,False,False,False
a2,a2,2025-09-09T14:56:05.534000+00:00,42,Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac...,True,True,True,2.286,2.31,2.286,3.119,-0.0,1.25,0.556,0.517,0.044,0.358,Qwen3-235B-A22B-2507,gemini-2.5-pro,0.833,False,False,False,False,False,False,False,False
a3,a3,2025-09-12T14:46:55.512000+00:00,42,,True,True,True,2.595,2.119,2.595,2.69,0.356,1.25,0.563,0.503,-0.012,0.223,Qwen3-235B-A22B-2507,gemini-2.5-flash,0.571,False,False,False,False,False,False,False,False
a4,a4,2025-09-13T14:46:55.512000+00:00,42,,True,True,True,2.714,2.333,2.286,2.667,0.288,1.25,0.444,0.491,-0.055,0.192,gemini-2.5-pro,DeepSeek-R1-0528,0.429,False,False,False,False,False,False,False,False
a5,a5,2025-09-14T15:26:00.692000+00:00,42,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0...,True,True,True,2.619,2.643,2.524,2.214,-0.112,1.25,0.452,0.492,-0.055,0.171,gemini-2.5-flash,Qwen3-235B-A22B-2507,0.429,False,False,False,False,False,False,False,False
b1,b1,2025-09-15T11:32:53.580000+00:00,42,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...,True,True,True,2.5,2.405,2.381,2.714,-0.059,1.25,0.683,0.531,0.055,0.131,Qwen3-235B-A22B-2507,DeepSeek-R1-0528,0.333,False,False,False,False,False,False,False,False
b2,b2,2025-09-14T19:10:48.840000+00:00,42,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac O...,True,True,True,2.976,1.786,2.952,2.286,0.244,1.25,0.413,0.473,-0.095,0.497,gemini-2.5-pro,gemini-2.5-flash,1.19,False,False,False,False,False,False,False,False
b3,b3,2025-09-18T15:23:36.129000+00:00,42,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...,True,True,True,2.333,2.69,2.214,2.762,0.166,1.25,0.595,0.549,0.16,0.231,Qwen3-235B-A22B-2507,DeepSeek-R1-0528,0.548,False,False,False,False,False,False,False,False
b4,b4,2025-09-09T20:34:58.764000+00:00,42,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...,True,True,True,3.095,2.238,2.262,2.405,0.02,1.25,0.452,0.497,-0.068,0.35,gemini-2.5-pro,gemini-2.5-flash,0.857,False,False,False,False,False,False,False,False
b5,b5,2025-09-14T12:43:27.022000+00:00,35,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36...,True,True,True,2.343,2.514,2.2,2.943,0.006,1.25,0.571,0.538,0.163,0.279,Qwen3-235B-A22B-2507,DeepSeek-R1-0528,0.743,False,False,False,False,False,False,False,False
c1,c1,2025-09-15T22:12:07.713000+00:00,42,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...,True,True,True,3.024,2.405,1.833,2.738,0.22,1.25,0.563,0.517,-0.007,0.443,gemini-2.5-pro,DeepSeek-R1-0528,1.19,False,False,False,False,False,False,False,False
c2,c2,2025-09-10T13:46:12.017000+00:00,14,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac...,False,False,False,3.357,1.714,3.071,1.857,0.446,1.25,0.238,0.39,-0.6,0.723,gemini-2.5-pro,gemini-2.5-flash,1.643,False,False,True,True,False,False,False,True
c3,c3,2025-09-12T12:42:40.047000+00:00,42,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...,True,True,True,2.524,2.81,2.738,1.929,0.088,1.25,0.452,0.478,-0.049,0.346,gemini-2.5-flash,Qwen3-235B-A22B-2507,0.881,False,False,False,False,False,False,False,False
c4,c4,2025-09-09T17:40:10.146000+00:00,42,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36...,True,True,True,3.0,2.0,2.5,2.5,0.127,1.25,0.429,0.456,-0.191,0.354,gemini-2.5-pro,gemini-2.5-flash,1.0,False,False,False,False,False,False,False,False
c5,c5,2025-09-11T06:28:46.638000+00:00,42,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Ap...,True,True,True,3.19,2.333,2.238,2.238,0.039,1.25,0.381,0.47,-0.108,0.401,gemini-2.5-pro,DeepSeek-R1-0528,0.952,False,False,False,False,False,False,False,False
